ISO;YEAR;BANKING_CRISIS
DEU;1985;0.0
DEU;1986;0.0
DEU;1987;0.0
DEU;1988;1.0
DEU;1989;0.0
DEU;1990;0.0
DEU;1991;0.0
DEU;1992;0.0
DEU;1993;0.0
DEU;1994;0.0
DEU;1995;0.0
DEU;1996;0.0
DEU;1997;0.0
DEU;1998;0.0
DEU;1999;0.0
DEU;2000;0.0
DEU;2001;0.0
DEU;2002;1.0
DEU;2003;1.0
DEU;2004;1.0
DEU;2005;0.0
DEU;2006;0.0
DEU;2007;0.0
DEU;2008;1.0
DEU;2009;1.0
DEU;2010;1.0
DEU;2011;0.0
DEU;2012;1.0
DEU;2013;0.0
DEU;2014;0.0
DEU;2015;0.0
DEU;2016;1.0
DEU;2017;1.0
DEU;2018;0.0
DEU;2019;1.0
DEU;2020;1.0
DEU;2021;1.0
DEU;2022;1.0
DEU;2023;
DNK;1950;
DNK;1951;
DNK;1952;
DNK;1953;
DNK;1954;
DNK;1955;
DNK;1956;
DNK;1957;
DNK;1958;
DNK;1959;
DNK;1960;
DNK;1961;
DNK;1962;
DNK;1963;
DNK;1964;
DNK;1965;
DNK;1966;
DNK;1967;
DNK;1968;
DNK;1969;
DNK;1970;
DNK;1971;
DNK;1972;
DNK;1973;
DNK;1974;1.0
DNK;1975;0.0
DNK;1976;0.0
DNK;1977;0.0
DNK;1978;0.0
DNK;1979;0.0
DNK;1980;0.0
DNK;1981;0.0
DNK;1982;0.0
DNK;1983;0.0
DNK;1984;0.0
DNK;1985;0.0
DNK;1986;0.0
DNK;1987;0.0
DNK;1988;0.0
DNK;1989;0.0
DNK;1990;0.0
DNK;1991;0.0
DNK;1992;1.0
DNK;1993;0.0
DNK;1994;0.0
DNK;1995;0.0
DNK;1996;0.0
DNK;1997;0.0
DNK;1998;0.0
DNK;1999;0.0
DNK;2000;0.0
DNK;2001;0.0
DNK;2002;0.0
DNK;2003;0.0
DNK;2004;0.0
DNK;2005;0.0
DNK;2006;0.0
DNK;2007;0.0
DNK;2008;1.0
DNK;2009;1.0
DNK;2010;1.0
DNK;2011;0.0
DNK;2012;0.0
DNK;2013;0.0
DNK;2014;0.0
DNK;2015;0.0
DNK;2016;0.0
DNK;2017;0.0
DNK;2018;0.0
DNK;2019;1.0
DNK;2020;1.0
DNK;2021;1.0
DNK;2022;1.0
DNK;2023;
EGY;1950;
EGY;1951;
EGY;1952;
EGY;1953;
EGY;1954;
EGY;1955;
EGY;1956;
EGY;1957;
EGY;1958;
EGY;1959;
EGY;1960;
EGY;1961;
EGY;1962;
EGY;1963;
EGY;1964;
EGY;1965;
EGY;1966;
EGY;1967;
EGY;1968;
EGY;1969;
EGY;1970;
EGY;1971;
EGY;1972;
EGY;1973;
EGY;1974;
EGY;1975;
EGY;1976;
EGY;1977;
EGY;1978;
EGY;1979;
EGY;1980;
EGY;1981;
EGY;1982;
EGY;1983;
EGY;1984;
EGY;1985;
EGY;1986;
EGY;1987;
EGY;1988;
EGY;1989;
EGY;1990;
EGY;1991;
EGY;1992;
EGY;1993;
EGY;1994;
EGY;1995;
EGY;1996;
EGY;1997;0.0
EGY;1998;0.0
EGY;1999;1.0
EGY;2000;1.0
EGY;2001;1.0
EGY;2002;1.0
EGY;2003;1.0
EGY;2004;0.0
EGY;2005;0.0
EGY;2006;0.0
EGY;2007;0.0
EGY;2008;0.0
EGY;2009;0.0
EGY;2010;0.0
EGY;2011;0.0
EGY;2012;0.0
EGY;2013;0.0
EGY;2014;0.0
EGY;2015;0.0
EGY;2016;0.0
EGY;2017;0.0
EGY;2018;0.0
EGY;2019;0.0
EGY;2020;0.0
EGY;2021;0.0
EGY;2022;0.0
EGY;2023;
ESP;1950;
ESP;1951;
ESP;1952;
ESP;1953;
ESP;1954;
ESP;1955;
ESP;1956;
ESP;1957;
ESP;1958;
ESP;1959;
ESP;1960;
ESP;1961;
ESP;1962;
ESP;1963;
ESP;1964;
ESP;1965;
ESP;1966;
ESP;1967;
ESP;1968;
ESP;1969;
ESP;1970;
ESP;1971;
ESP;1972;
ESP;1973;
ESP;1974;
ESP;1975;
ESP;1976;
ESP;1977;
ESP;1978;
ESP;1979;
ESP;1980;
ESP;1981;
ESP;1982;
ESP;1983;
ESP;1984;
ESP;1985;
ESP;1986;
ESP;1987;
ESP;1988;0.0
ESP;1989;0.0
ESP;1990;0.0
ESP;1991;0.0
ESP;1992;0.0
ESP;1993;0.0
ESP;1994;0.0
ESP;1995;0.0
ESP;1996;0.0
ESP;1997;0.0
ESP;1998;0.0
ESP;1999;0.0
ESP;2000;0.0
ESP;2001;0.0
ESP;2002;0.0
ESP;2003;1.0
ESP;2004;0.0
ESP;2005;0.0
ESP;2006;0.0
ESP;2007;0.0
ESP;2008;0.0
ESP;2009;1.0
ESP;2010;1.0
ESP;2011;0.0
ESP;2012;1.0
ESP;2013;1.0
ESP;2014;0.0
ESP;2015;0.0
ESP;2016;1.0
ESP;2017;0.0
ESP;2018;0.0
ESP;2019;1.0
ESP;2020;1.0
ESP;2021;1.0
ESP;2022;1.0
ESP;2023;
EST;1950;
EST;1951;
EST;1952;
EST;1953;
EST;1954;
EST;1955;
EST;1956;
EST;1957;
EST;1958;
EST;1959;
EST;1960;
EST;1961;
EST;1962;
EST;1963;
EST;1964;
EST;1965;
EST;1966;
EST;1967;
EST;1968;
EST;1969;
EST;1970;
EST;1971;
EST;1972;
EST;1973;
EST;1974;
EST;1975;
EST;1976;
EST;1977;
EST;1978;
EST;1979;
EST;1980;
EST;1981;
EST;1982;
EST;1983;
EST;1984;
EST;1985;
EST;1986;
EST;1987;
EST;1988;
EST;1989;
EST;1990;
EST;1991;
EST;1992;
EST;1993;
EST;1994;
EST;1995;
EST;1996;
EST;1997;
EST;1998;
EST;1999;
EST;2000;
EST;2001;
EST;2002;
EST;2003;
EST;2004;
EST;2005;
EST;2006;
EST;2007;
EST;2008;
EST;2009;
EST;2010;
EST;2011;
EST;2012;
EST;2013;
EST;2014;
EST;2015;
EST;2016;
EST;2017;0.0
EST;2018;0.0
EST;2019;0.0
EST;2020;0.0
EST;2021;0.0
EST;2022;0.0
EST;2023;
EUZ;1950;
EUZ;1951;
EUZ;1952;
EUZ;1953;
EUZ;1954;
EUZ;1955;
EUZ;1956;
EUZ;1957;
EUZ;1958;
EUZ;1959;
EUZ;1960;
EUZ;1961;
EUZ;1962;
EUZ;1963;
EUZ;1964;
EUZ;1965;
EUZ;1966;
EUZ;1967;
EUZ;1968;
EUZ;1969;
EUZ;1970;
EUZ;1971;
